#NSGA2
popsize 750
maxGen 40
numVar 13
numObj 6
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 40
currentGen	1
evaluateCount	750
totalTime	53920.3
firstFrontCount	747
frontCount	2
avgEvalTime	891.209
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	Obj4	Obj5	Obj6
2697	467	771	14.9273	15.5248	1050	11	8	487	5	80	346	5	0.382694	29164	0.00015873	0	0	0
2415	116	740	23.1531	10	953	13	6	471	10	75	350	5	0.080552	70485.3	0.000165536	0	0	0
2700	373	775	11.387	10.44	1033	10	6	480	7	79	348	5	0.361343	38495.2	0.000124193	0	0	0
2325	108	746	21.5514	10	1042	16	9	472	6	60	343	4	0.076587	73518.3	0.000169837	0	0	0
2700	500	769	15.1943	16	1038	11	8	490	8	76	346	4	0.405249	28562.5	0.00016284	0	0	0
2667	379	743	16.8466	16	1028	12	7	488	8	76	350	5	0.286504	29343.8	0.000168719	0	0	0
2415	116	740	23.1531	10	959	10	6	471	10	75	350	5	0.080552	70749.8	0.000165344	0	0	0
2368	100	743	24.7557	15.639	1023	13	7	477	3	75	338	4	0.067687	53922.4	0.000203666	0	0	0
2641	398	767	12.2843	11.206	1050	10	9	481	9	73	350	5	0.352627	35821.4	0.000129702	0	0	0
2369	100	746	24.8299	14.7816	1035	15	9	470	0	80	348	4	0.067457	55636.3	0.000199322	0	0	0
2680	500	773	13.1527	11.6796	1046	13	10	484	11	80	346	5	0.427723	33739.9	0.00013245	0	0	0
2604	317	768	16.7745	13.954	1044	11	9	489	8	75	348	6	0.245556	32583.2	0.000151999	0	0	0
2300	100	725	24.4494	10	1022	12	8	471	7	63	344	4	0.064218	82660.6	0.000186776	0	0	0
2300	100	730	25	10	977	12	10	467	9	66	350	4	0.063606	78775.4	0.00018875	0	0	0
2429	110	742	22.3706	10.1693	1011	13	8	483	5	64	330	5	0.079692	70909.3	0.000167616	0	0	0
2314	100	745	23.7699	10	983	12	9	473	4	76	349	4	0.067575	75811.2	0.000181785	0	0	0
2698	419	775	13.6132	10.3252	1033	11	6	478	7	80	349	5	0.360356	37757.2	0.000125094	0	0	0
2369	100	745	23.7699	10.0259	983	12	9	477	4	76	349	4	0.069564	74639.6	0.000179083	0	0	0
2667	500	772	15.5651	12.4136	1035	13	10	484	11	80	346	5	0.399535	32532.9	0.000139256	0	0	0
2666	380	758	13.0386	10	1048	11	8	480	7	75	350	5	0.326468	38654.1	0.000124704	0	0	0
2700	500	772	12.8555	10.9649	1033	12	9	489	7	76	350	6	0.434518	35183.2	0.000127926	0	0	0
2300	100	725	25	11.4579	968	17	8	467	11	56	349	4	0.06317	67464.1	0.000195465	0	0	0
2667	500	772	13.1527	12.4136	1050	13	10	484	11	80	346	5	0.425412	32670.2	0.000136818	0	0	0
2616	381	767	14.9303	15.3032	1021	11	7	488	7	76	343	4	0.305288	30357.1	0.000160772	0	0	0
2670	394	741	16.9538	14.2445	1050	12	7	475	8	80	350	5	0.296068	31136.2	0.000155642	0	0	0
2693	400	775	11.961	10	1050	12	5	480	3	77	350	5	0.369954	38921.4	0.000121921	0	0	0
2491	184	759	14.0327	12.2458	1029	13	8	490	7	64	350	5	0.166012	41838.9	0.000142857	0	0	0
2370	100	762	25	10	1050	12	5	478	3	67	344	5	0.068927	85371.3	0.000179404	0	0	0
