"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1_1 [V]"
4.32999999999999,,,46.7998946971323
4.33999999999999,,,46.058479320706
4.34999999999999,,,45.154435283203
4.35999999999999,,,44.5120782398852
4.36999999999999,,,43.5900669418861
4.37999999999999,,,42.7317319986593
4.38999999999999,,,41.9970024445566
4.39999999999999,33.6514738056514,33.2179098169076,40.8087986582167
4.40999999999999,,,40.8234998372575
4.41999999999999,,,39.5611822820679
4.42999999999999,,,39.0762308774067
4.43999999999999,,,38.0055516012183
4.44999999999999,,,37.4351493477269
4.45999999999999,,,36.5582298949023
4.46999999999999,,,35.9128815916446
4.47999999999999,,,35.09672195159
4.48999999999999,,,34.4016427856322
4.49999999999999,30.212339308781,29.9818770368753,33.2902447344421
4.50999999999999,,,33.1500952833976
4.51999999999998,,,32.1294928258844
4.52999999999998,,,31.3159818759691
4.53999999999998,,,30.6788035664431
4.54999999999998,,,29.9047186836833
4.55999999999998,,,29.2814231158412
4.56999999999998,,,28.4668713547831
4.57999999999998,,,27.7941994678244
4.58999999999998,,,27.0335170509406
4.59999999999998,31.1362697109334,31.2148814231338,25.7275869134942
4.60999999999998,,,26.4319219249864
4.61999999999998,,,25.0283148629914
4.62999999999998,,,24.4976250029792
4.63999999999998,,,23.6996176060998
4.64999999999998,,,23.1599121577173
4.65999999999998,,,22.4257603777487
4.66999999999998,,,21.9078746135646
4.67999999999998,,,21.3649301294203
4.68999999999998,,,20.7740999804593
4.69999999999998,29.0765200269548,29.2893999132742,19.8627410987925
4.70999999999998,,,20.1590695950168
4.71999999999998,,,19.3248467609716
4.72999999999998,,,18.7304698122789
4.73999999999998,,,18.4645896667731
4.74999999999998,,,17.9132460870486
4.75999999999998,,,17.562645624409
4.76999999999997,,,17.1156478046337
4.77999999999997,,,16.6673020407133
4.78999999999997,,,16.3383761791598
4.79999999999997,24.0019094673027,24.2198383041125,15.515190528887
4.80999999999997,,,16.2288911925219
4.81999999999997,,,15.3769143947109
4.82999999999997,,,15.2818827621255
4.83999999999997,,,14.7135708452157
4.84999999999997,,,14.5246122674253
4.85999999999997,,,14.1935732403126
4.86999999999997,,,13.945713791958
4.87999999999997,,,13.6935168010505
4.88999999999997,,,13.3962122007786
4.89999999999997,19.1844265639295,19.3628006061879,13.1685756276817
4.90999999999997,,,12.8887511290371
4.91999999999997,,,12.7494871978223
4.92999999999997,,,12.3475298001279
4.93999999999997,,,12.3176468366076
4.94999999999997,,,11.9540308839044
4.95999999999997,,,11.8072381439576
4.96999999999997,,,11.5563825130787
4.97999999999997,,,10.9668430244019
4.98999999999997,,,10.9656997790202
4.99999999999997,13.2791453261593,13.3323370265564,10.2601011395868
5.00999999999997,,,10.9182248362376
5.01999999999996,,,10.1689916231722
5.02999999999996,,,10.3008351442506
5.03999999999996,,,9.48408814075469
5.04999999999996,,,9.41596537624195
5.05999999999996,,,9.18719610208989
5.06999999999996,,,8.98405382343018
5.07999999999996,,,8.8782180268702
5.08999999999996,,,8.51507132995678
5.09999999999996,,,8.73754636702175
5.1,4.21287310643002,4.02002496261932,
5.10999999999996,,,7.8524280362927
5.11999999999996,,,8.09640772776487
5.12999999999996,,,7.67741964087829
5.13999999999996,,,7.72769604386357
5.14999999999996,,,7.48128701377224
5.15999999999996,,,7.44663901372541
5.16999999999996,,,7.36376850815098
5.17999999999996,,,6.74997233660629
5.18999999999996,,,6.94714083586707
5.19999999999996,-3.46661405273395,-3.82369336985321,6.42753803539202
5.20999999999996,,,6.91428123809651
5.21999999999996,,,6.31131582939951
5.22999999999996,,,6.41708946878565
5.23999999999996,,,5.72881431159545
5.24999999999996,,,5.63055841764105
5.25999999999995,,,5.38245878863885
5.26999999999995,,,5.14241661117597
5.27999999999995,,,4.93601281220133
5.28999999999995,,,4.63518706356766
5.29999999999995,,,4.64013612432331
5.3,-3.09443231754968,-3.34278454210356,
5.30999999999995,,,3.88922058934831
5.31999999999995,,,3.79432896987513
5.32999999999995,,,3.38198852865026
5.33999999999995,,,3.09750233460372
5.34999999999995,,,2.72548385419358
5.35999999999995,,,2.3920837249115
5.36999999999995,,,2.07163435174693
5.37999999999995,,,1.51464862703238
5.38999999999995,,,1.16764642901228
5.39999999999995,,,0.858624275429411
5.4,3.37104342554128,3.39752487191535,
5.40999999999995,,,0.555429286147624
5.41999999999995,,,0.0692097499033234
5.42999999999995,,,-0.0743796596591769
5.43999999999995,,,-0.714059814205277
5.44999999999995,,,-1.02717014104363
5.45999999999995,,,-1.50144292772609
5.46999999999995,,,-1.72498856396704
5.47999999999995,,,-2.10107189621564
5.48999999999995,,,-2.57734534035447
5.49999999999995,,,-2.75088828901049
5.5,7.48215596639232,7.74642324471217,
5.50999999999994,,,-3.45415137471564
5.51999999999994,,,-3.54814382697591
5.52999999999994,,,-3.98390936783305
5.53999999999994,,,-4.15327314912134
5.54999999999994,,,-4.53171017386641
5.55999999999994,,,-4.84278471477604
5.56999999999994,,,-5.10096974991069
5.57999999999994,,,-5.5713948147631
5.58999999999994,,,-5.69239924942423
5.59999999999994,,,-5.91803737958776
5.6,5.51682604597535,5.82593505103422,
5.60999999999994,,,-6.0791792490025
5.61999999999994,,,-6.23037756256076
5.62999999999994,,,-6.20821525108587
5.63999999999994,,,-6.71180483248795
5.64999999999994,,,-6.7790791278724
5.65999999999994,,,-6.98499237473699
5.66999999999994,,,-7.13485218534789
5.67999999999994,,,-7.28609431378565
5.68999999999994,,,-7.4699008544846
5.69999999999994,,,-7.18663343990429
5.7,1.03944460590588,1.29922550473504,
5.70999999999994,,,-8.18007907736373
5.71999999999994,,,-8.01776822899646
5.72999999999994,,,-8.21695540753653
5.73999999999994,,,-8.32497056150217
5.74999999999993,,,-8.56503810562383
5.75999999999993,,,-8.74917046249126
5.76999999999993,,,-8.83194176374871
5.77999999999993,,,-9.39487461816307
5.78999999999993,,,-9.36295869458686
5.79999999999993,,,-9.68333237092484
5.8,-4.74269581436092,-4.60354241639037,
5.80999999999993,,,-9.68900289830583
5.81999999999993,,,-10.0540265477848
5.82999999999993,,,-10.1192008647115
5.83999999999993,,,-10.8056639839431
5.84999999999993,,,-11.0157494677969
5.85999999999993,,,-11.1046567321753
5.86999999999993,,,-11.4761810771806
5.87999999999993,,,-11.6226166245075
5.88999999999993,,,-12.0649859635063
5.89999999999993,,,-11.7333598552265
5.9,-14.0381074246809,-14.1457075695888,
5.90999999999993,,,-13.1273880366106
5.91999999999993,,,-12.7401583941316
5.92999999999993,,,-13.1020968629997
5.93999999999993,,,-13.3320739890036
5.94999999999993,,,-13.6097928550188
5.95999999999993,,,-13.8568571627312
5.96999999999993,,,-13.8297857223085
5.97999999999993,,,-14.6723378540054
5.98999999999993,,,-14.5497813808077
5.99999999999992,,,-14.9596284535375
6,-24.6660299174988,-25.0085273473238,
6.00999999999992,,,-15.0616258861042
6.01999999999992,,,-15.403039973217
6.02999999999992,,,-15.398116631194
6.03999999999992,,,-16.1936279319881
6.04999999999992,,,-16.4455042830198
6.05999999999992,,,-16.8455823428289
6.06999999999992,,,-17.1227524686575
6.07999999999992,,,-17.3256793639061
6.08999999999992,,,-17.880918166497
6.09999999999992,,,-17.7325765208188
6.1,-29.1400340676944,-29.4894287311097,
6.10999999999992,,,-19.102056461879
6.11999999999992,,,-19.0755226980818
6.12999999999992,,,-19.6550233423695
6.13999999999992,,,-20.0909572399163
6.14999999999992,,,-20.6479104577337
6.15999999999992,,,-21.1822021135186
6.16999999999992,,,-21.8463771327901
6.17999999999992,,,-22.5582788789711
6.18999999999992,,,-22.9719677433969
6.19999999999992,,,-23.7308834557147
