#NSGA2
popsize 1000
maxGen 30
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 30
currentGen	1
evaluateCount	1000
totalTime	169121
firstFrontCount	271
frontCount	5
avgEvalTime	2244.59
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
11228	331	3015	17.772	21.3041	1782	16.1298	10	527	7	75	39	4	1.16827e+06	5.08285e-05	0.3758	
11488	316	3003	19.1213	26.7615	1830	16.7448	4	531	18	62	8	6	1.11334e+06	5.44929e-05	0.2897	
11001	335	2999	15.2572	21.6771	1730	14.9535	8	530	9	73	23	4	1.28329e+06	5.13242e-05	0.283	
10334	300	3045	23.8066	27.1898	1790	14.9265	5	531	8	56	46	5	1.11532e+06	6.67824e-05	0.1407	
11466	346	3037	22.191	28.3225	1746	16.0872	4	517	19	59	33	6	1.04292e+06	5.8309e-05	0.3144	
10838	309	3005	16.4565	24.5252	1854	14.4928	6	522	17	56	8	3	1.23268e+06	5.42476e-05	0.2522	
10585	328	2968	23.5377	29.1217	1735	14.851	5	518	20	59	60	4	1.07416e+06	6.78702e-05	0.1594	
11229	381	2981	23.9534	29.7508	1759	16.165	6	524	8	58	11	6	1.00587e+06	6.23364e-05	0.278	
11476	344	3010	21.4359	23.3297	1783	18.1415	9	510	13	84	35	4	1.06565e+06	5.29045e-05	0.4495	
11131	347	3007	24.1066	23.2107	1861	14.2517	9	528	8	62	60	6	1.05174e+06	5.68699e-05	0.3105	
10837	381	3050	19.8681	22.4256	1817	17.9926	9	528	19	68	46	4	1.10224e+06	5.55185e-05	0.244	
11076	330	2950	15.1547	24.7757	1849	15.0387	6	533	4	71	34	4	1.27776e+06	5.42299e-05	0.2609	
11056	311	2953	16.7224	21.8671	1884	15.2081	7	520	15	63	13	5	1.23173e+06	5.11614e-05	0.3602	
11119	337	3048	22.7698	26.1768	1719	18.8029	8	529	14	58	47	5	1.05169e+06	5.88132e-05	0.2472	
11309	347	3027	18.8624	23.421	1827	18.1077	9	531	12	74	58	5	1.11587e+06	5.33163e-05	0.3088	
11400	397	3016	17.7034	23.7095	1845	16.6552	10	524	15	73	19	3	1.11203e+06	5.11954e-05	0.3731	
10824	339	2992	21.9866	24.9749	1823	17.851	6	525	7	58	72	4	1.08643e+06	6.07607e-05	0.2049	
10701	396	3019	20.2469	26.4302	1878	16.5325	9	528	0	62	49	4	1.08114e+06	6.06024e-05	0.2088	
11293	385	2973	22.6236	26.504	1866	14.3941	8	522	15	69	21	4	1.01548e+06	5.71396e-05	0.3249	
10723	394	3005	20.2061	24.7238	1798	18.4968	8	532	19	66	75	3	1.09754e+06	6.12182e-05	0.1869	
10841	387	3047	15.4484	22.7081	1817	18.9246	4	531	4	76	54	5	1.26852e+06	5.47256e-05	0.241	
10481	273	2962	21.7248	24.8923	1700	17.5453	8	524	13	58	57	3	1.14935e+06	6.35849e-05	0.1476	
10299	345	2974	20.3236	29.0942	1708	14.9713	6	514	17	61	34	4	1.11928e+06	6.72043e-05	0.1372	
10974	367	2991	20.1226	27.5985	1793	15.6892	7	518	13	59	3	4	1.07005e+06	5.86992e-05	0.2631	
10075	230	3026	18.3479	26.5175	1880	15.7387	10	518	4	57	32	4	1.21245e+06	6.29366e-05	0.1385	
10257	342	3004	17.5377	26.4916	1744	15.8222	5	525	12	59	31	5	1.21245e+06	6.29366e-05	0.1385	
11197	333	2982	15.7467	22.1995	1776	14.1876	9	523	19	60	62	6	1.25693e+06	5.23889e-05	0.2908	
11413	350	2956	24.7353	23.3763	1825	18.7159	6	527	17	71	64	4	1.03842e+06	5.62936e-05	0.3383	
10200	334	3020	24.7604	28.3603	1840	18.8779	6	511	18	59	57	4	1.09358e+06	7.13776e-05	0.1502	
11144	333	3030	16.6368	22.1176	1755	18.5826	7	531	15	76	23	4	1.20647e+06	5.12269e-05	0.3074	
11209	361	3005	22.449	29.1561	1763	16.3101	6	519	17	66	20	3	1.02577e+06	6.06722e-05	0.2728	
10285	385	2970	18.2684	22.6906	1824	17.9059	5	534	11	72	9	4	1.17907e+06	5.86992e-05	0.1874	
10723	394	3004	18.5815	21.6145	1829	18.7862	9	532	19	69	59	3	1.14097e+06	5.67022e-05	0.2145	
10275	219	3047	18.1233	22.9577	1759	17.0178	8	528	10	60	32	5	1.32966e+06	5.92593e-05	0.1421	
10029	337	2965	18.3585	21.506	1774	16.9552	6	530	4	60	21	3	1.21906e+06	6.14628e-05	0.1467	
11206	364	3027	21.9484	20.7547	1751	15.2035	9	531	5	70	62	4	1.07473e+06	5.32425e-05	0.3485	
11405	368	3011	20.8249	23.2961	1900	16.442	5	525	19	81	38	5	1.07104e+06	5.25403e-05	0.3628	
10923	369	2970	17.5789	27.3753	1886	16.6857	7	534	17	57	12	6	1.13795e+06	5.78838e-05	0.1974	
10831	309	3005	16.4565	24.5252	1840	14.1552	7	522	20	56	62	3	1.24388e+06	5.69217e-05	0.21	
10837	381	3050	19.8681	22.4256	1817	17.9926	9	528	19	65	40	4	1.10117e+06	5.51755e-05	0.2441	
11381	400	2956	16.7224	21.8671	1856	15.2081	9	520	18	64	13	5	1.1659e+06	4.94927e-05	0.4208	
10987	386	3007	22.1787	23.9666	1844	14.148	9	518	7	62	67	6	1.05484e+06	5.7867e-05	0.2968	
11475	347	3030	15.4966	25.4642	1797	16.5601	7	535	6	66	36	5	1.22915e+06	5.23177e-05	0.2932	
11295	373	3016	22.8145	26.3102	1845	16.6552	10	521	18	73	26	3	1.01562e+06	5.68408e-05	0.3243	
10192	335	2954	17.8926	28.012	1854	17.9571	4	529	14	59	7	4	1.19616e+06	6.45036e-05	0.1257	
11215	330	3050	15.1547	24.0231	1848	15.3168	6	534	8	71	34	4	1.27677e+06	5.17464e-05	0.2781	
11068	378	2950	22.7557	26.9638	1729	16.8661	10	527	3	81	67	4	1.02764e+06	6.14666e-05	0.2654	
10299	345	2987	17.7213	26.4644	1732	14.9713	6	514	17	57	34	4	1.19445e+06	6.27431e-05	0.1484	
10852	337	2992	15.3338	22.0299	1721	14.1876	9	523	19	58	62	6	1.30189e+06	5.46837e-05	0.2326	
10587	372	3039	19.4847	26.9211	1816	17.4636	8	535	4	64	9	5	1.1074e+06	5.99305e-05	0.1693	
11226	379	2975	22.2413	22.5588	1811	16.1079	6	513	13	71	51	5	1.06081e+06	5.4612e-05	0.3705	
11293	353	3021	19.507	22.5603	1714	14.5143	9	530	17	65	67	4	1.10332e+06	5.3376e-05	0.2977	
11306	355	3050	20.1885	22.809	1846	15.7677	8	524	19	57	41	4	1.08653e+06	5.21376e-05	0.3469	
11016	371	3044	21.4673	21.2168	1890	18.677	7	516	16	56	63	5	1.09544e+06	5.45256e-05	0.3214	
10246	370	2990	20.6813	24.4324	1796	14.0583	4	521	17	65	13	4	1.06109e+06	6.53083e-05	0.1961	
10719	356	3024	22.4059	29.5393	1709	14.0988	6	520	7	75	51	6	1.06109e+06	6.53083e-05	0.1961	
11255	378	2950	19.2347	26.9638	1739	15.7693	10	527	3	81	67	4	1.06938e+06	5.24329e-05	0.3839	
11381	369	2975	20.2434	23.4794	1817	16.3049	9	520	15	64	13	5	1.06938e+06	5.24329e-05	0.3839	
11285	245	3004	19.2247	20.7999	1899	18.832	5	534	16	55	14	4	1.24168e+06	4.97413e-05	0.348	
11016	400	3034	22.5617	22.9589	1795	15.7745	5	534	3	60	18	5	1.05204e+06	5.48727e-05	0.3077	
10662	345	2980	20.3236	29.0819	1708	14.9713	6	514	17	64	24	4	1.09254e+06	6.35122e-05	0.1871	
11229	381	2981	25	29.7508	1751	17.9572	6	527	8	64	11	6	999498	6.29683e-05	0.2699	
10950	369	2970	17.5789	27.3753	1886	16.7621	8	534	17	57	15	4	1.13175e+06	5.77567e-05	0.2	
11156	342	3001	20.6179	23.0574	1806	15.6074	5	526	18	64	55	4	1.09741e+06	5.46359e-05	0.2982	
10604	400	2975	20.0407	28.4784	1888	17.7842	7	533	11	66	40	4	1.08485e+06	6.37552e-05	0.1672	
11295	377	3027	22.8145	22.3856	1815	16.4874	9	518	15	73	42	3	1.04136e+06	5.35475e-05	0.3794	
10893	351	2989	24.5362	29.9322	1728	14.594	7	519	19	63	16	4	1.02727e+06	6.49942e-05	0.2307	
10723	394	3004	20.2061	23.2837	1806	18.7862	9	532	18	67	75	3	1.10167e+06	5.99628e-05	0.1947	
10193	274	3026	18.2947	22.1667	1715	15.8408	10	519	17	56	33	5	1.24979e+06	5.95877e-05	0.1487	
10801	348	3008	20.126	29.7508	1768	17.9572	6	524	8	59	23	6	1.08838e+06	6.29525e-05	0.1873	
11259	342	2978	20.2839	24.5252	1830	14.4928	5	522	17	55	15	3	1.08591e+06	5.39607e-05	0.3454	
11276	321	3042	15.954	20.6783	1776	15.008	7	517	15	57	34	3	1.26164e+06	4.87662e-05	0.428	
11201	290	2967	17.8119	22.4307	1704	14.6823	8	529	14	85	2	5	1.19556e+06	5.15437e-05	0.3407	
10921	330	3002	15.2572	20.6738	1750	15.1824	8	530	9	71	17	4	1.29807e+06	5.0674e-05	0.3132	
11112	377	3041	16.3829	20.5116	1708	14.6539	7	513	9	77	12	4	1.21599e+06	4.92708e-05	0.4208	
10997	397	3016	22.8145	22.7422	1845	16.6552	10	524	14	73	19	3	1.03915e+06	5.51207e-05	0.3587	
11413	375	2953	20.5915	23.3763	1843	18.7159	6	513	17	73	60	3	1.04293e+06	5.9641e-05	0.2201	
10950	369	2970	21.7228	27.3753	1886	16.7621	8	534	17	57	15	3	1.04293e+06	5.9641e-05	0.2201	
11428	321	3016	20.1986	25.7757	1797	14.7465	8	528	13	80	14	6	1.0887e+06	5.42123e-05	0.3436	
10905	400	3004	18.9729	24.7238	1806	18.7862	9	532	19	63	75	3	1.10781e+06	5.89414e-05	0.1923	
10643	373	2997	24.4782	24.9749	1802	17.851	8	523	9	58	72	4	1.0536e+06	6.41478e-05	0.1984	
11272	321	3042	15.954	20.6783	1772	15.008	7	517	15	57	20	3	1.26107e+06	4.83255e-05	0.4283	
11142	337	2992	22.3728	26.7265	1890	15.6664	8	527	6	68	32	5	1.05251e+06	5.81666e-05	0.2925	
11500	296	3044	20.8769	20.9176	1854	15.6315	8	497	18	81	54	4	1.14258e+06	5.04108e-05	0.5263	
11302	381	2953	21.4636	25.0163	1781	14.9267	7	522	6	60	10	5	1.04168e+06	5.51907e-05	0.3519	
10286	328	3041	17.9138	26.2942	1741	14.1349	8	520	15	63	23	4	1.1951e+06	6.16561e-05	0.1516	
11252	326	2954	17.736	23.069	1703	16.4986	8	525	14	73	27	3	1.15804e+06	5.25901e-05	0.3255	
10257	328	3005	23.3036	26.6602	1764	17.196	5	528	12	60	53	4	1.10853e+06	6.79117e-05	0.1333	
10989	337	3002	15	21.6771	1730	15.2472	9	530	10	71	27	4	1.29898e+06	5.15039e-05	0.2718	
10410	316	3006	17.4448	22.2095	1717	15.7674	6	518	14	64	26	6	1.23489e+06	5.70288e-05	0.2132	
11061	385	3034	21.4868	27.6366	1851	14.0729	10	532	19	70	42	4	1.03709e+06	5.93014e-05	0.2323	
10723	400	3004	20.2061	22.967	1806	18.7862	10	532	19	85	38	3	1.08907e+06	5.76502e-05	0.2519	
11199	320	3044	15.1547	20.3141	1827	17.3889	6	533	4	75	34	4	1.30951e+06	4.89333e-05	0.3634	
11285	254	3004	18.8673	20.775	1899	18.1747	6	534	16	55	3	4	1.23198e+06	4.92029e-05	0.355	
11131	344	3007	24.1066	23.3176	1844	14.6951	9	529	7	62	60	6	1.05274e+06	5.70223e-05	0.3032	
10285	400	2964	18.2684	22.6906	1824	17.9059	6	534	10	72	9	5	1.17408e+06	5.87855e-05	0.1894	
10797	287	2999	15.7875	21.7158	1855	14.7528	10	498	18	74	49	4	1.0381e+06	5.92698e-05	0.2461	
11042	385	3043	21.4868	27.6366	1851	14	10	527	19	69	41	4	1.0381e+06	5.92698e-05	0.2461	
11164	376	3043	21.9538	20.314	1873	17.5244	6	509	7	75	26	4	1.08885e+06	5.14589e-05	0.4581	
11384	394	3004	19.8598	24.7238	1900	18.8227	7	532	19	69	75	3	1.06427e+06	5.52364e-05	0.2741	
11201	364	3035	18.8972	23.0746	1701	15.2035	9	529	5	70	62	3	1.10966e+06	5.3888e-05	0.2947	
10751	345	2956	22.357	21.9681	1721	14.7366	6	525	13	56	70	3	1.0942e+06	5.92382e-05	0.2389	
10275	376	2975	22.26	27.3636	1853	18.3846	7	534	6	65	7	3	1.0848e+06	6.52656e-05	0.1735	
10408	367	2975	20.1226	28.5218	1849	16.0756	8	518	11	59	3	4	1.09991e+06	6.36456e-05	0.1791	
10962	384	2974	23.2891	21.443	1816	18.5774	7	531	3	58	72	4	1.06655e+06	5.75407e-05	0.2676	
11380	396	3016	22.8145	28.7556	1852	16.6552	10	524	15	73	19	3	995538	5.89588e-05	0.3135	
10219	374	2973	16.9094	24.1282	1872	15.3191	7	527	12	61	7	6	1.22266e+06	5.92839e-05	0.1574	
