#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2662	186	745	19.0468	13.4559	1029	15.5903	9	478	19	67	349	6	0	0	0
2639	192	751	19.1139	13.5638	1018	11.7034	6	481	2	72	350	5	0	0	0
2635	186	735	18.8283	13.5342	1007	16.5813	10	466	5	66	346	6	0	0	0
2673	191	756	18.7466	13.6683	1010	14.4713	8	487	13	78	343	6	0	0	0
2640	178	760	19.1854	13.6584	976	15.3765	10	490	13	70	339	5	0	0	0
2690	193	766	19.1919	13.6456	952	13.4578	10	471	16	75	341	5	0	0	0
2490	193	752	15.0999	13.8391	1044	15.9265	8	480	18	59	340	5	0	0	0
2492	195	755	15.4016	13.6536	994	15.4174	10	472	3	68	333	5	0	0	0
2673	191	757	18.7466	13.6683	1010	14.4713	8	487	13	78	344	6	0	0	0
2612	191	744	18.9626	13.3678	1015	14.5663	10	482	20	73	333	5	0	0	0
2690	198	741	18.8011	13.6656	981	15.1413	7	478	16	74	343	5	0	0	0
2673	191	745	18.7466	13.6683	1010	14.6479	10	487	15	78	344	6	0	0	0
2483	192	766	16.5798	13.6911	990	16.5038	10	485	9	65	332	4	0	0	0
2483	192	766	16.5798	13.6911	989	16.5038	10	481	9	65	334	4	0	0	0
2483	192	766	16.5798	13.6911	990	15.8188	10	478	9	65	334	4	0	0	0
2483	192	766	16.5798	13.6911	990	15.8188	10	478	9	65	334	4	0	0	0
2666	198	751	18.7151	13.8414	1020	15.0498	9	473	10	71	345	5	0	0	0
2594	196	737	16.8159	13.6431	1039	11.5392	10	476	13	79	335	4	0	0	0
2588	196	737	16.8159	13.6431	1039	11.5392	10	476	13	79	334	4	0	0	0
2689	195	760	18.9496	13.8341	988	12.5265	10	466	9	68	337	5	0	0	0
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	5	66	346	6	0	0	0
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	7	66	346	5	0	0	0
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	7	66	346	6	0	0	0
