"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
18660.0253566551,18660.0253566551,1.41486690589369E-08
18720.0254381877,18720.0254381877,2.89733689793442E-08
18780.0255197204,18780.0255197204,1.09736582699783E-07
18840.025601253,18840.025601253,5.55337708546206E-08
18900.0256827857,18900.0256827857,1.06256977408431E-07
18960.0257643183,18960.0257643183,5.07143178502445E-08
19020.025845851,19020.025845851,8.11796052668837E-08
19080.0259273836,19080.0259273836,2.66446487751612E-08
19140.0260089163,19140.0260089163,9.83356707913843E-08
19200.0260904489,19200.0260904489,2.33251669012488E-08
19260.0261719816,19260.0261719816,3.84289876483836E-08
19320.0262535142,19320.0262535142,1.72031746444248E-07
19380.0263350469,19380.0263350469,6.81290468222728E-08
19440.0264165795,19440.0264165795,1.80179776003108E-07
19500.0264981122,19500.0264981122,3.39961135964309E-08
19560.0265796449,19560.0265796449,1.68691434992272E-07
19620.0266611775,19620.0266611775,2.31099641378815E-08
19680.0267427102,19680.0267427102,1.18230403302064E-07
19740.0268242428,19740.0268242428,6.78321845639925E-08
19800.0269057755,19800.0269057755,1.36125707444458E-07
19860.0269873081,19860.0269873081,7.04719460020175E-08
19920.0270688408,19920.0270688408,1.33058167799005E-07
19980.0271503734,19980.0271503734,4.43624111774305E-08
20040.0272319061,20040.0272319061,4.92874319089069E-08
20100.0273134387,20100.0273134387,1.10346903563628E-07
20160.0273949714,20160.0273949714,4.20858943678461E-08
20220.027476504,20220.027476504,1.97650550274312E-08
20280.0275580367,20280.0275580367,1.43280399194143E-07
20340.0276395693,20340.0276395693,1.00818087825567E-08
20400.027721102,20400.027721102,2.13303671251946E-08
20460.0278026346,20460.0278026346,6.25641680372964E-08
20520.0278841673,20520.0278841673,4.51264129577646E-08
20580.0279657,20580.0279657,4.38636476954794E-08
20640.0280472326,20640.0280472326,5.04760941005626E-08
20700.0281287653,20700.0281287653,8.01324119630869E-08
20760.0282102979,20760.0282102979,1.00465935420415E-07
20820.0282918306,20820.0282918306,2.52615476607561E-07
20880.0283733632,20880.0283733632,6.63961306757732E-08
20940.0284548959,20940.0284548959,1.9518261348597E-07
21000.0285364285,21000.0285364285,8.26651234092241E-09
21060.0286179612,21060.0286179612,7.0800606869672E-08
21120.0286994938,21120.0286994938,9.51299856507322E-08
21180.0287810265,21180.0287810265,8.29887209874905E-08
21240.0288625591,21240.0288625591,2.37033343534897E-08
21300.0289440918,21300.0289440918,2.40628584429719E-08
21360.0290256244,21360.0290256244,8.85865410190779E-08
21420.0291071571,21420.0291071571,9.97314083043457E-08
21480.0291886897,21480.0291886897,5.56802048368385E-08
21540.0292702224,21540.0292702224,1.63496849414616E-07
21600.0293517551,21600.0293517551,1.20217661922428E-08
21660.0294332877,21660.0294332877,6.18026557258835E-08
21720.0295148204,21720.0295148204,2.69424700993438E-08
21780.029596353,21780.029596353,2.98511756537112E-08
21840.0296778857,21840.0296778857,1.41127683261834E-08
21900.0297594183,21900.0297594183,9.06574506497899E-08
21960.029840951,21960.029840951,3.20595343392482E-08
22020.0299224836,22020.0299224836,2.08840596771154E-08
22080.0300040163,22080.0300040163,2.05085344650149E-08
22140.0300855489,22140.0300855489,3.94677404373236E-08
22200.0301670816,22200.0301670816,1.55201515755566E-08
22260.0302486142,22260.0302486142,8.48718097868293E-08
22320.0303301469,22320.0303301469,3.02942600766481E-08
22380.0304116795,22380.0304116795,5.15764798856976E-08
22440.0304932122,22440.0304932122,2.61393534067345E-07
22500.0305747448,22500.0305747448,5.61833164268369E-08
22560.0306562775,22560.0306562775,2.61603827000555E-07
22620.0307378101,22620.0307378101,2.40121981020163E-08
22680.0308193428,22680.0308193428,7.49630459257825E-08
22740.0309008755,22740.0309008755,1.1737796018902E-07
22800.0309824081,22800.0309824081,8.56334430600869E-08
22860.0310639408,22860.0310639408,5.59669979713414E-08
22920.0311454734,22920.0311454734,3.45928726709197E-08
22980.0312270061,22980.0312270061,3.15733738627352E-08
23040.0313085387,23040.0313085387,1.57421622516046E-07
23100.0313900714,23100.0313900714,9.41510755815394E-08
23160.031471604,23160.031471604,2.85670243170645E-07
23220.0315531367,23220.0315531367,1.25911653641465E-08
23280.0316346693,23280.0316346693,7.17081338146266E-08
23340.031716202,23340.031716202,4.94588487476495E-09
23400.0317977346,23400.0317977346,3.88705383495761E-08
23460.0318792673,23460.0318792673,5.76313858235035E-09
23520.0319607999,23520.0319607999,2.4250057640488E-08
23580.0320423326,23580.0320423326,5.51595262912623E-08
23640.0321238653,23640.0321238653,1.11017689746961E-08
23700.0322053979,23700.0322053979,6.08314988568414E-08
23760.0322869306,23760.0322869306,2.14110236171765E-08
23820.0323684632,23820.0323684632,4.51172076617332E-08
23880.0324499959,23880.0324499959,6.0050447575226E-08
23940.0325315285,23940.0325315285,3.58721587189977E-08
24000.0326130612,24000.0326130612,5.82843874837422E-09
24060.0326945938,24060.0326945938,1.61531737779489E-07
24120.0327761265,24120.0327761265,3.26055315837129E-08
24180.0328576591,24180.0328576591,1.65685866881472E-07
24240.0329391918,24240.0329391918,3.57646495934478E-08
24300.0330207244,24300.0330207244,3.60716305954854E-08
24360.0331022571,24360.0331022571,3.00441822397241E-08
